epoch,accuracy,loss,val_accuracy,val_loss
0,0.7258813977241516,0.6885994076728821,0.7305236458778381,0.6278043389320374
1,0.8729161024093628,0.370926171541214,0.8480204343795776,0.40527433156967163
2,0.8961464762687683,0.3072485327720642,0.9054917097091675,0.2868368327617645
3,0.9141842126846313,0.2677218019962311,0.9042145609855652,0.2742893099784851
4,0.9158239960670471,0.25240856409072876,0.9118773937225342,0.24827644228935242
5,0.9256627559661865,0.22882485389709473,0.9106002449989319,0.23999060690402985
6,0.9308554530143738,0.22327503561973572,0.9169859290122986,0.22195489704608917
7,0.9374145865440369,0.20384517312049866,0.9272030591964722,0.20950056612491608
8,0.9341350197792053,0.19938494265079498,0.931034505367279,0.20072780549526215
9,0.9412407875061035,0.19045096635818481,0.9412515759468079,0.18596096336841583
10,0.9417873620986938,0.18974991142749786,0.9476373195648193,0.17887860536575317
11,0.9426072835922241,0.18542996048927307,0.9476373195648193,0.1716269552707672
12,0.9453402757644653,0.17446209490299225,0.9489144086837769,0.17330002784729004
13,0.9450669288635254,0.17493054270744324,0.9476373195648193,0.17715999484062195
14,0.9417873620986938,0.17825455963611603,0.9438058733940125,0.18547646701335907
15,0.948893129825592,0.16160143911838531,0.946360170841217,0.17763368785381317
16,0.953265905380249,0.15679767727851868,0.9514687061309814,0.1647917777299881
17,0.9502596259117126,0.1573576033115387,0.9604086875915527,0.1472257375717163
18,0.9516261219978333,0.1551864743232727,0.9553001523017883,0.1597745567560196
19,0.9502596259117126,0.1577964425086975,0.954023003578186,0.16550880670547485
20,0.9551790356636047,0.15013490617275238,0.9514687061309814,0.16432884335517883
21,0.9614648818969727,0.1377188265323639,0.9489144086837769,0.17045100033283234
22,0.9570921063423157,0.1411607563495636,0.954023003578186,0.15978464484214783
23,0.9590051770210266,0.13382862508296967,0.9425287246704102,0.18575233221054077
24,0.960098385810852,0.1384318321943283,0.946360170841217,0.1780914068222046
25,0.9587318897247314,0.13783307373523712,0.9527458548545837,0.16542521119117737
26,0.9614648818969727,0.12957145273685455,0.961685836315155,0.14161038398742676
27,0.9592784643173218,0.14080403745174408,0.9501915574073792,0.17055103182792664
28,0.9636512994766235,0.12845313549041748,0.9553001523017883,0.15923063457012177
29,0.9622848033905029,0.12502926588058472,0.9604086875915527,0.1380893737077713
30,0.9641978740692139,0.12378261983394623,0.9629629850387573,0.13937753438949585
31,0.9636512994766235,0.12712739408016205,0.9642400741577148,0.13599388301372528
32,0.96638423204422,0.12164563685655594,0.9604086875915527,0.1463613361120224
33,0.9611915946006775,0.128726065158844,0.961685836315155,0.13606318831443787
34,0.968843936920166,0.11719886213541031,0.9604086875915527,0.14572493731975555
35,0.9650177359580994,0.11789145320653915,0.9565772414207458,0.15744920074939728
36,0.964471161365509,0.11518476158380508,0.9489144086837769,0.18148864805698395
37,0.9680240750312805,0.11096859723329544,0.9489144086837769,0.1715836375951767
38,0.9680240750312805,0.1157025471329689,0.9514687061309814,0.16953431069850922
39,0.9641978740692139,0.11660394072532654,0.9553001523017883,0.1553921103477478
40,0.9658376574516296,0.11420530825853348,0.9629629850387573,0.13788390159606934
41,0.968843936920166,0.10846250504255295,0.9565772414207458,0.15517373383045197
